Order_ID,Customer_ID,Delivery_Date,Scheduled_Delivery,Distance_km,Delivery_Status,Region,Courier_Name,Fuel_Cost,Time_Taken_hr,Delivery_Delay_hr,Cost_per_km
ORD10014,CUST2014,2025-06-24,2025-06-23 23:00:00,434.18,On Time,South,CourierD,557.66,6.51,1.0,1.2843981758717582
ORD10015,CUST2015,2025-06-21,2025-06-20 22:00:00,291.44,Delayed,West,CourierB,320.17,3.65,2.0,1.0985794674718639
ORD10016,CUST2016,2025-06-04,2025-06-03 22:00:00,222.11,On Time,South,CourierB,203.04,5.01,2.0,0.914141641528972
ORD10017,CUST2017,2025-06-08,2025-06-07 23:00:00,364.0,Delayed,North,CourierC,530.69,6.4,1.0,1.4579395604395606
ORD10018,CUST2018,2025-06-24,2025-06-23 21:00:00,245.9,On Time,North,CourierD,256.01,4.34,3.0,1.0411142740951607
ORD10019,CUST2019,2025-06-03,2025-06-03 00:00:00,437.34,On Time,East,CourierB,483.3,8.7,0.0,1.1050898614350393
ORD10020,CUST2020,2025-06-22,2025-06-21 21:00:00,450.85,Delayed,South,CourierB,324.83,11.72,3.0,0.7204835311079072
ORD10021,CUST2021,2025-06-21,2025-06-20 20:00:00,213.75,On Time,West,CourierD,240.61,2.71,4.0,1.1256608187134503
ORD10022,CUST2022,2025-06-02,2025-06-01 22:00:00,142.03,On Time,West,CourierA,152.2,1.95,2.0,1.071604590579455
ORD10023,CUST2023,2025-06-24,2025-06-24 00:00:00,298.21,On Time,West,CourierA,204.23,5.43,0.0,0.6848529559706248
ORD10024,CUST2024,2025-06-12,2025-06-12 00:00:00,456.62,On Time,East,CourierB,255.52,7.59,0.0,0.5595900310980685
ORD10025,CUST2025,2025-06-30,2025-06-29 20:00:00,109.28,On Time,North,CourierB,120.68,2.64,4.0,1.1043191800878478
ORD10026,CUST2026,2025-06-06,2025-06-05 20:00:00,313.37,On Time,West,CourierA,396.0,5.48,4.0,1.2636819095637744
ORD10027,CUST2027,2025-06-02,2025-06-01 23:00:00,317.62,On Time,North,CourierC,325.05,4.91,1.0,1.023392733455072
ORD10028,CUST2028,2025-06-28,2025-06-27 22:00:00,367.89,On Time,East,CourierD,267.37,6.6,2.0,0.7267661529261464
ORD10029,CUST2029,2025-06-21,2025-06-20 22:00:00,70.13,On Time,South,CourierD,81.81,0.88,2.0,1.1665478397262228
ORD10030,CUST2030,2025-06-01,2025-05-31 21:00:00,359.33,On Time,South,CourierC,208.45,5.93,3.0,0.5801074221467731
ORD10031,CUST2031,2025-06-12,2025-06-11 23:00:00,454.97,On Time,South,CourierC,428.51,9.37,1.0,0.9418423192737982
ORD10032,CUST2032,2025-06-26,2025-06-25 23:00:00,93.94,On Time,West,CourierC,62.32,1.37,1.0,0.6634021715988929
ORD10033,CUST2033,2025-06-22,2025-06-21 23:00:00,122.58,On Time,South,CourierC,83.9,3.18,1.0,0.6844509707945832
ORD10034,CUST2034,2025-06-29,2025-06-28 23:00:00,485.84,On Time,West,CourierC,341.2,9.87,1.0,0.7022888193643998
ORD10035,CUST2035,2025-06-12,2025-06-11 22:00:00,94.58,On Time,East,CourierC,83.86,2.0,2.0,0.8866567984774794
ORD10036,CUST2036,2025-06-25,2025-06-24 22:00:00,427.92,On Time,East,CourierD,235.85,8.29,2.0,0.5511544213871752
ORD10037,CUST2037,2025-06-17,2025-06-16 23:00:00,248.68,On Time,West,CourierC,223.26,3.6,1.0,0.8977802798777544
ORD10038,CUST2038,2025-06-27,2025-06-26 21:00:00,127.38,On Time,North,CourierA,128.87,2.35,3.0,1.0116972837180092
ORD10039,CUST2039,2025-06-27,2025-06-27 00:00:00,436.02,On Time,South,CourierC,428.74,6.26,0.0,0.9833035181872392
ORD10040,CUST2040,2025-06-10,2025-06-10 00:00:00,225.43,On Time,South,CourierC,199.01,3.83,0.0,0.8828017566428602
ORD10041,CUST2041,2025-06-28,2025-06-27 21:00:00,259.83,On Time,South,CourierD,347.95,5.52,3.0,1.3391448254628027
ORD10042,CUST2042,2025-06-28,2025-06-27 23:00:00,182.82,On Time,West,CourierD,117.98,2.59,1.0,0.6453342085111039
ORD10043,CUST2043,2025-06-16,2025-06-15 22:00:00,298.51,On Time,East,CourierC,300.21,7.12,2.0,1.0056949515929114
ORD10044,CUST2044,2025-06-15,2025-06-15 00:00:00,85.94,On Time,South,CourierD,48.3,2.08,0.0,0.5620200139632301
ORD10045,CUST2045,2025-06-30,2025-06-29 20:00:00,198.59,Delayed,East,CourierB,113.43,3.6,4.0,0.5711767964147239
ORD10046,CUST2046,2025-06-30,2025-06-29 20:00:00,484.86,Delayed,South,CourierD,520.67,11.26,4.0,1.0738563709111908
ORD10047,CUST2047,2025-06-15,2025-06-14 21:00:00,132.78,On Time,South,CourierD,141.55,4.36,3.0,1.0660491037806898
ORD10048,CUST2048,2025-06-30,2025-06-29 23:00:00,330.08,On Time,West,CourierD,454.86,5.29,1.0,1.378029568589433
ORD10049,CUST2049,2025-06-19,2025-06-19 00:00:00,165.97,On Time,North,CourierD,175.58,2.99,0.0,1.0579020304874376
ORD10050,CUST2050,2025-06-12,2025-06-11 23:00:00,387.87,On Time,West,CourierA,566.21,7.42,1.0,1.4597932296903602
ORD10051,CUST2051,2025-06-23,2025-06-23 00:00:00,69.78,On Time,South,CourierA,38.29,0.89,0.0,0.5487245629120091
ORD10052,CUST2052,2025-06-20,2025-06-19 21:00:00,485.06,On Time,South,CourierA,290.07,8.28,3.0,0.5980084937945821
ORD10053,CUST2053,2025-06-25,2025-06-24 21:00:00,229.63,On Time,North,CourierC,124.93,3.14,3.0,0.5440491225014153
ORD10054,CUST2054,2025-06-03,2025-06-02 20:00:00,121.84,On Time,East,CourierC,83.49,3.3,4.0,0.6852429415627052
ORD10055,CUST2055,2025-06-05,2025-06-04 23:00:00,41.38,On Time,East,CourierB,43.09,0.71,1.0,1.041324311261479
ORD10056,CUST2056,2025-06-19,2025-06-18 20:00:00,89.03,On Time,South,CourierA,101.99,1.21,4.0,1.1455689093563965
ORD10057,CUST2057,2025-06-07,2025-06-06 23:00:00,262.29,On Time,East,CourierC,143.1,4.43,1.0,0.5455793205993366
ORD10058,CUST2058,2025-06-21,2025-06-20 20:00:00,171.82,Delayed,South,CourierD,248.45,2.61,4.0,1.4459899895239203
ORD10059,CUST2059,2025-06-09,2025-06-08 22:00:00,415.3,On Time,North,CourierD,557.4,8.54,2.0,1.3421622923188057
ORD10060,CUST2060,2025-06-07,2025-06-06 22:00:00,218.29,On Time,North,CourierA,173.89,6.3,2.0,0.7966008520775115
ORD10061,CUST2061,2025-06-18,2025-06-17 22:00:00,128.11,On Time,South,CourierB,73.94,2.42,2.0,0.5771602529076574
ORD10062,CUST2062,2025-06-04,2025-06-03 22:00:00,310.49,On Time,North,CourierB,207.99,6.24,2.0,0.6698766465908725
ORD10063,CUST2063,2025-06-25,2025-06-25 00:00:00,354.85,On Time,West,CourierD,222.47,4.84,0.0,0.6269409609694236
ORD10064,CUST2064,2025-06-28,2025-06-27 22:00:00,87.69,On Time,West,CourierB,54.66,2.08,2.0,0.6233321929524461
ORD10065,CUST2065,2025-06-14,2025-06-13 21:00:00,87.97,On Time,North,CourierA,89.6,1.12,3.0,1.01852904399227
ORD10066,CUST2066,2025-06-18,2025-06-17 21:00:00,23.15,On Time,South,CourierD,17.27,0.3,3.0,0.7460043196544277
ORD10067,CUST2067,2025-06-26,2025-06-26 00:00:00,369.52,On Time,South,CourierC,317.1,8.72,0.0,0.8581402901060837
ORD10068,CUST2068,2025-06-09,2025-06-08 22:00:00,333.58,On Time,North,CourierC,496.87,7.04,2.0,1.4895077642544519
ORD10069,CUST2069,2025-06-26,2025-06-25 22:00:00,239.94,On Time,East,CourierB,284.16,3.21,2.0,1.1842960740185047
ORD10070,CUST2070,2025-06-21,2025-06-20 22:00:00,422.86,On Time,West,CourierD,612.72,5.4,2.0,1.4489902095256113
ORD10071,CUST2071,2025-06-02,2025-06-01 20:00:00,403.81,On Time,East,CourierD,259.47,7.74,4.0,0.6425546667987421
ORD10072,CUST2072,2025-06-20,2025-06-19 23:00:00,294.75,Delayed,South,CourierC,260.01,6.4,1.0,0.8821374045801527
ORD10073,CUST2073,2025-06-28,2025-06-27 20:00:00,434.79,On Time,South,CourierD,458.59,7.72,4.0,1.0547390694358194
ORD10074,CUST2074,2025-06-15,2025-06-14 23:00:00,106.89,On Time,East,CourierD,61.65,1.66,1.0,0.5767611563289363
ORD10075,CUST2075,2025-06-28,2025-06-27 22:00:00,60.4,On Time,North,CourierD,30.45,1.38,2.0,0.5041390728476821
ORD10076,CUST2076,2025-06-07,2025-06-06 22:00:00,138.53,On Time,East,CourierB,162.14,2.07,2.0,1.1704323973146609
ORD10077,CUST2077,2025-06-12,2025-06-11 20:00:00,33.26,On Time,East,CourierD,37.98,1.02,4.0,1.141912206855081
ORD10078,CUST2078,2025-06-29,2025-06-28 20:00:00,267.93,On Time,West,CourierA,244.03,8.25,4.0,0.910797596387116
ORD10079,CUST2079,2025-06-08,2025-06-07 23:00:00,468.62,Delayed,West,CourierB,463.77,9.5,1.0,0.9896504630617557
ORD10080,CUST2080,2025-06-15,2025-06-14 21:00:00,24.48,On Time,East,CourierD,22.41,0.51,3.0,0.9154411764705882
ORD10081,CUST2081,2025-06-03,2025-06-02 23:00:00,65.44,On Time,East,CourierD,34.29,1.43,1.0,0.5239914425427873
ORD10082,CUST2082,2025-06-14,2025-06-13 20:00:00,228.84,On Time,South,CourierA,191.17,4.19,4.0,0.8353871700751616
ORD10083,CUST2083,2025-06-17,2025-06-16 20:00:00,467.27,On Time,West,CourierB,316.38,10.15,4.0,0.6770817728508143
ORD10084,CUST2084,2025-06-04,2025-06-04 00:00:00,161.5,On Time,West,CourierC,96.65,4.08,0.0,0.598452012383901
ORD10085,CUST2085,2025-06-18,2025-06-17 20:00:00,256.08,On Time,South,CourierC,373.04,5.63,4.0,1.456732271165261
ORD10086,CUST2086,2025-06-08,2025-06-08 00:00:00,25.58,On Time,North,CourierB,28.12,0.32,0.0,1.0992963252541048
ORD10087,CUST2087,2025-06-04,2025-06-03 21:00:00,78.43,On Time,West,CourierD,96.36,1.55,3.0,1.2286115007012621
ORD10088,CUST2088,2025-06-02,2025-06-01 23:00:00,493.38,On Time,West,CourierD,402.28,9.45,1.0,0.8153553042279784
ORD10089,CUST2089,2025-06-30,2025-06-29 23:00:00,482.73,Delayed,North,CourierC,431.15,8.21,1.0,0.8931493795703601
ORD10090,CUST2090,2025-06-06,2025-06-06 00:00:00,7.45,On Time,West,CourierC,5.49,0.09,0.0,0.7369127516778523
ORD10091,CUST2091,2025-06-22,2025-06-21 23:00:00,476.15,Delayed,West,CourierC,284.25,11.32,1.0,0.5969757429381498
ORD10092,CUST2092,2025-06-10,2025-06-09 20:00:00,321.36,On Time,North,CourierA,218.21,5.02,4.0,0.6790204132437142
ORD10093,CUST2093,2025-06-04,2025-06-03 22:00:00,434.62,Delayed,North,CourierC,563.93,6.61,2.0,1.2975242740785051
ORD10094,CUST2094,2025-06-22,2025-06-22 00:00:00,230.1,On Time,East,CourierA,270.95,3.81,0.0,1.1775315080399826
ORD10095,CUST2095,2025-06-29,2025-06-28 23:00:00,260.22,On Time,South,CourierB,272.43,7.56,1.0,1.0469218353700713
ORD10096,CUST2096,2025-06-18,2025-06-18 00:00:00,246.98,Delayed,South,CourierD,240.83,3.87,0.0,0.9750991983156532
ORD10097,CUST2097,2025-06-26,2025-06-26 00:00:00,335.1,On Time,North,CourierC,476.66,10.09,0.0,1.422441062369442
ORD10098,CUST2098,2025-06-12,2025-06-11 22:00:00,74.13,Delayed,North,CourierD,42.46,1.24,2.0,0.5727775529475246
ORD10099,CUST2099,2025-06-02,2025-06-01 20:00:00,19.84,On Time,West,CourierD,15.49,0.3,4.0,0.7807459677419355
ORD10100,CUST2100,2025-06-10,2025-06-10 00:00:00,157.43,On Time,East,CourierC,133.81,3.88,0.0,0.8499650638378962
ORD10101,CUST2101,2025-06-30,2025-06-29 23:00:00,353.82,On Time,East,CourierC,453.75,4.91,1.0,1.282431744955062
ORD10102,CUST2102,2025-06-04,2025-06-03 21:00:00,104.92,On Time,North,CourierB,156.59,3.33,3.0,1.4924704536789934
ORD10103,CUST2103,2025-06-14,2025-06-14 00:00:00,338.35,On Time,West,CourierA,250.61,4.69,0.0,0.7406827249889167
ORD10104,CUST2104,2025-06-16,2025-06-16 00:00:00,485.11,On Time,West,CourierA,666.69,9.15,0.0,1.3743068582383378
ORD10105,CUST2105,2025-06-15,2025-06-14 22:00:00,51.48,On Time,South,CourierD,68.5,1.26,2.0,1.3306138306138307
ORD10106,CUST2106,2025-06-08,2025-06-07 20:00:00,337.94,On Time,South,CourierC,244.89,9.21,4.0,0.7246552642480913
ORD10107,CUST2107,2025-06-14,2025-06-13 21:00:00,224.66,On Time,West,CourierB,202.04,2.89,3.0,0.899314519718686
ORD10108,CUST2108,2025-06-23,2025-06-22 23:00:00,434.73,On Time,South,CourierB,395.46,12.93,1.0,0.9096680698364501
ORD10109,CUST2109,2025-06-28,2025-06-27 21:00:00,92.69,On Time,North,CourierB,137.02,2.32,3.0,1.4782608695652175
ORD10110,CUST2110,2025-06-25,2025-06-24 23:00:00,347.85,On Time,West,CourierB,236.85,7.34,1.0,0.6808969383354894
ORD10111,CUST2111,2025-06-30,2025-06-29 20:00:00,419.87,On Time,South,CourierB,545.48,6.88,4.0,1.2991640269607259
ORD10112,CUST2112,2025-06-08,2025-06-07 23:00:00,472.58,On Time,East,CourierA,394.22,8.26,1.0,0.8341868043505862
ORD10113,CUST2113,2025-06-21,2025-06-20 22:00:00,343.21,On Time,West,CourierA,422.45,9.46,2.0,1.2308790536406282
ORD10114,CUST2114,2025-06-16,2025-06-15 22:00:00,251.1,On Time,West,CourierA,231.01,5.64,2.0,0.9199920350457985
ORD10115,CUST2115,2025-06-13,2025-06-12 22:00:00,310.83,Delayed,East,CourierC,335.19,7.41,2.0,1.0783708136280283
ORD10116,CUST2116,2025-06-18,2025-06-17 22:00:00,435.11,On Time,North,CourierD,579.83,10.7,2.0,1.3326055480223393
ORD10117,CUST2117,2025-06-15,2025-06-14 21:00:00,287.45,On Time,East,CourierB,374.88,5.69,3.0,1.3041572447382155
ORD10118,CUST2118,2025-06-21,2025-06-20 20:00:00,20.04,On Time,West,CourierC,27.38,0.31,4.0,1.3662674650698603
ORD10119,CUST2119,2025-06-24,2025-06-23 23:00:00,465.82,On Time,North,CourierB,260.68,11.4,1.0,0.5596153020480014
ORD10120,CUST2120,2025-06-26,2025-06-25 23:00:00,346.32,On Time,South,CourierA,412.83,7.17,1.0,1.192047817047817
ORD10121,CUST2121,2025-06-25,2025-06-24 22:00:00,339.87,On Time,South,CourierC,217.51,6.86,2.0,0.6399799923500161
ORD10122,CUST2122,2025-06-28,2025-06-27 22:00:00,111.76,On Time,South,CourierA,102.35,1.42,2.0,0.9158017179670722
ORD10123,CUST2123,2025-06-28,2025-06-28 00:00:00,331.15,On Time,West,CourierB,347.24,4.26,0.0,1.048588253057527
ORD10124,CUST2124,2025-06-28,2025-06-27 20:00:00,199.96,Delayed,East,CourierB,180.51,2.86,4.0,0.9027305461092218
ORD10125,CUST2125,2025-06-13,2025-06-12 21:00:00,327.36,Delayed,North,CourierD,333.78,7.78,3.0,1.0196114369501466
ORD10126,CUST2126,2025-06-09,2025-06-08 23:00:00,57.76,On Time,South,CourierB,86.44,1.73,1.0,1.4965373961218837
ORD10127,CUST2127,2025-06-29,2025-06-29 00:00:00,330.63,On Time,North,CourierA,210.02,7.21,0.0,0.6352115657986269
ORD10128,CUST2128,2025-06-15,2025-06-15 00:00:00,499.71,On Time,West,CourierB,587.39,11.53,0.0,1.1754617678253387
ORD10129,CUST2129,2025-06-13,2025-06-12 23:00:00,28.86,On Time,South,CourierD,25.86,0.52,1.0,0.896049896049896
ORD10130,CUST2130,2025-06-01,2025-05-31 21:00:00,488.7,On Time,West,CourierD,309.35,7.09,3.0,0.6330059341109066
ORD10131,CUST2131,2025-06-25,2025-06-25 00:00:00,206.42,On Time,East,CourierA,135.98,2.83,0.0,0.6587539967057455
ORD10132,CUST2132,2025-06-07,2025-06-07 00:00:00,436.02,On Time,West,CourierC,631.91,6.04,0.0,1.4492683821843035
ORD10133,CUST2133,2025-06-09,2025-06-08 20:00:00,392.28,On Time,West,CourierB,541.19,8.18,4.0,1.3796013051901705
ORD10134,CUST2134,2025-06-24,2025-06-23 21:00:00,285.67,On Time,East,CourierD,401.95,4.44,3.0,1.4070430916792103
ORD10135,CUST2135,2025-06-01,2025-06-01 00:00:00,370.53,Delayed,North,CourierB,552.66,8.12,0.0,1.4915391466278034
ORD10136,CUST2136,2025-06-12,2025-06-11 21:00:00,439.87,Delayed,East,CourierB,311.57,13.31,3.0,0.7083229135881055
ORD10137,CUST2137,2025-06-08,2025-06-07 23:00:00,205.05,On Time,East,CourierC,175.41,3.15,1.0,0.8554498902706656
ORD10138,CUST2138,2025-06-24,2025-06-23 22:00:00,166.88,On Time,West,CourierD,195.12,5.47,2.0,1.169223394055609
ORD10139,CUST2139,2025-06-11,2025-06-11 00:00:00,335.46,Delayed,North,CourierB,330.03,6.65,0.0,0.9838132713289215
ORD10140,CUST2140,2025-06-19,2025-06-18 20:00:00,404.88,On Time,South,CourierD,371.84,8.71,4.0,0.9183955739972337
ORD10141,CUST2141,2025-06-17,2025-06-16 23:00:00,382.33,On Time,East,CourierA,327.97,5.91,1.0,0.8578191614573799
ORD10142,CUST2142,2025-06-08,2025-06-07 21:00:00,399.92,On Time,North,CourierA,437.42,5.85,3.0,1.0937687537507501
ORD10143,CUST2143,2025-06-03,2025-06-02 23:00:00,220.61,On Time,East,CourierB,237.29,4.88,1.0,1.0756085399573907
ORD10144,CUST2144,2025-06-03,2025-06-03 00:00:00,409.83,On Time,East,CourierD,271.09,5.81,0.0,0.6614693897469682
ORD10145,CUST2145,2025-06-01,2025-05-31 21:00:00,64.5,Delayed,East,CourierB,62.68,1.44,3.0,0.9717829457364341
ORD10146,CUST2146,2025-06-27,2025-06-26 22:00:00,274.52,Delayed,East,CourierD,289.2,5.25,2.0,1.0534751566370393
ORD10147,CUST2147,2025-06-05,2025-06-04 23:00:00,7.85,On Time,West,CourierD,8.4,0.12,1.0,1.070063694267516
ORD10148,CUST2148,2025-06-10,2025-06-10 00:00:00,165.67,On Time,North,CourierC,117.64,2.56,0.0,0.7100863161707008
ORD10149,CUST2149,2025-06-07,2025-06-06 20:00:00,186.4,Delayed,North,CourierC,231.56,2.35,4.0,1.2422746781115879
ORD10150,CUST2150,2025-06-26,2025-06-25 21:00:00,201.11,On Time,North,CourierC,105.62,4.87,3.0,0.5251852220178012
ORD10151,CUST2151,2025-06-09,2025-06-08 23:00:00,349.26,Delayed,East,CourierB,298.56,5.53,1.0,0.8548359388421234
ORD10152,CUST2152,2025-06-28,2025-06-27 23:00:00,197.34,On Time,West,CourierC,252.64,3.26,1.0,1.280227019357454
ORD10153,CUST2153,2025-06-07,2025-06-06 22:00:00,227.1,On Time,East,CourierC,241.61,3.0,2.0,1.0638925583443417
ORD10154,CUST2154,2025-06-09,2025-06-08 22:00:00,122.58,On Time,East,CourierA,93.3,3.24,2.0,0.7611355849241311
ORD10155,CUST2155,2025-06-08,2025-06-07 20:00:00,189.76,On Time,North,CourierD,226.75,2.81,4.0,1.1949304384485666
ORD10156,CUST2156,2025-06-12,2025-06-11 20:00:00,117.5,On Time,East,CourierD,125.42,2.01,4.0,1.067404255319149
ORD10157,CUST2157,2025-06-02,2025-06-02 00:00:00,41.23,On Time,South,CourierC,53.44,0.94,0.0,1.2961435847683727
ORD10158,CUST2158,2025-06-01,2025-06-01 00:00:00,303.71,On Time,East,CourierD,375.09,5.65,0.0,1.2350268348095221
ORD10159,CUST2159,2025-06-16,2025-06-15 20:00:00,335.77,On Time,South,CourierA,372.74,7.19,4.0,1.1101051314888168
ORD10160,CUST2160,2025-06-23,2025-06-22 20:00:00,311.65,On Time,East,CourierA,307.97,5.29,4.0,0.9881918819188193
ORD10161,CUST2161,2025-06-23,2025-06-22 21:00:00,234.43,Delayed,West,CourierC,148.44,3.15,3.0,0.6331954101437529
ORD10162,CUST2162,2025-06-30,2025-06-29 22:00:00,192.99,Delayed,West,CourierA,146.93,3.3,2.0,0.7613347841857091
ORD10163,CUST2163,2025-06-24,2025-06-24 00:00:00,432.35,On Time,North,CourierD,397.37,7.02,0.0,0.9190933271654909
ORD10164,CUST2164,2025-06-05,2025-06-04 22:00:00,261.95,On Time,East,CourierB,287.96,4.68,2.0,1.0992937583508302
ORD10165,CUST2165,2025-06-03,2025-06-02 22:00:00,242.2,On Time,South,CourierD,245.52,7.44,2.0,1.0137076796036335
ORD10166,CUST2166,2025-06-12,2025-06-11 20:00:00,17.69,On Time,South,CourierB,13.94,0.42,4.0,0.788015828151498
ORD10167,CUST2167,2025-06-08,2025-06-07 21:00:00,173.92,Delayed,East,CourierC,88.08,3.19,3.0,0.5064397424103037
ORD10168,CUST2168,2025-06-22,2025-06-21 23:00:00,193.2,On Time,South,CourierB,192.47,4.25,1.0,0.9962215320910973
ORD10169,CUST2169,2025-06-27,2025-06-26 21:00:00,202.42,On Time,West,CourierA,159.03,5.18,3.0,0.7856437110957416
ORD10170,CUST2170,2025-06-03,2025-06-02 21:00:00,292.19,Delayed,South,CourierD,360.74,5.29,3.0,1.2346076183305383
ORD10171,CUST2171,2025-06-01,2025-05-31 22:00:00,269.13,On Time,North,CourierB,141.01,5.83,2.0,0.5239475346486828
ORD10172,CUST2172,2025-06-03,2025-06-02 21:00:00,305.91,On Time,West,CourierD,331.86,7.13,3.0,1.0848288712366383
ORD10173,CUST2173,2025-06-05,2025-06-05 00:00:00,383.62,Delayed,West,CourierC,552.98,7.21,0.0,1.4414785464782858
ORD10174,CUST2174,2025-06-15,2025-06-14 22:00:00,407.43,On Time,West,CourierC,274.77,11.11,2.0,0.6743980561077976
ORD10175,CUST2175,2025-06-14,2025-06-14 00:00:00,360.47,Delayed,East,CourierA,350.25,4.72,0.0,0.9716481260576468
ORD10176,CUST2176,2025-06-03,2025-06-02 23:00:00,477.98,On Time,East,CourierC,282.69,6.51,1.0,0.5914264195154608
ORD10177,CUST2177,2025-06-01,2025-05-31 22:00:00,14.03,On Time,West,CourierB,15.79,0.21,2.0,1.1254454739843194
ORD10178,CUST2178,2025-06-05,2025-06-04 23:00:00,101.91,On Time,East,CourierC,107.06,2.89,1.0,1.050534785595133
ORD10179,CUST2179,2025-06-26,2025-06-25 22:00:00,8.74,Delayed,South,CourierA,7.93,0.13,2.0,0.9073226544622425
ORD10180,CUST2180,2025-06-23,2025-06-22 20:00:00,325.5,On Time,East,CourierD,332.46,4.62,4.0,1.0213824884792626
ORD10181,CUST2181,2025-06-14,2025-06-13 21:00:00,449.53,On Time,East,CourierD,627.8,6.57,3.0,1.396569750628434
ORD10182,CUST2182,2025-06-07,2025-06-06 20:00:00,125.52,On Time,West,CourierC,87.4,3.52,4.0,0.6963033779477374
ORD10183,CUST2183,2025-06-27,2025-06-26 23:00:00,463.88,On Time,North,CourierB,242.41,7.46,1.0,0.522570492368716
ORD10184,CUST2184,2025-06-09,2025-06-08 21:00:00,34.83,On Time,North,CourierA,47.43,0.49,3.0,1.3617571059431526
ORD10185,CUST2185,2025-06-15,2025-06-14 22:00:00,467.55,On Time,North,CourierB,503.61,7.94,2.0,1.077125441129291
ORD10186,CUST2186,2025-06-15,2025-06-14 21:00:00,179.05,On Time,South,CourierA,249.0,2.87,3.0,1.390672996369729
ORD10187,CUST2187,2025-06-26,2025-06-26 00:00:00,55.2,On Time,East,CourierC,60.55,1.04,0.0,1.0969202898550723
ORD10188,CUST2188,2025-06-10,2025-06-09 21:00:00,245.51,On Time,North,CourierA,321.66,4.35,3.0,1.3101706651460228
ORD10189,CUST2189,2025-06-28,2025-06-28 00:00:00,132.1,On Time,West,CourierA,122.81,4.16,0.0,0.9296744890234672
ORD10190,CUST2190,2025-06-13,2025-06-12 21:00:00,146.01,On Time,North,CourierC,182.49,2.36,3.0,1.2498459009656875
ORD10191,CUST2191,2025-06-19,2025-06-19 00:00:00,157.11,Delayed,North,CourierB,222.0,4.61,0.0,1.4130227229329768
ORD10192,CUST2192,2025-06-07,2025-06-06 23:00:00,402.5,On Time,East,CourierC,431.53,7.78,1.0,1.0721242236024844
ORD10193,CUST2193,2025-06-17,2025-06-16 20:00:00,271.88,Delayed,East,CourierA,185.09,6.09,4.0,0.6807782845372959
ORD10194,CUST2194,2025-06-20,2025-06-19 22:00:00,159.1,On Time,East,CourierC,122.32,2.78,2.0,0.7688246385920804
ORD10195,CUST2195,2025-06-29,2025-06-28 21:00:00,307.12,On Time,South,CourierA,214.57,8.38,3.0,0.698651992706434
ORD10196,CUST2196,2025-06-04,2025-06-03 20:00:00,359.49,On Time,South,CourierC,268.49,5.57,4.0,0.7468636123397034
ORD10197,CUST2197,2025-06-30,2025-06-29 22:00:00,139.95,On Time,North,CourierD,112.86,2.01,2.0,0.8064308681672027
ORD10198,CUST2198,2025-06-05,2025-06-04 22:00:00,209.71,On Time,East,CourierD,221.27,5.49,2.0,1.0551237423108102
ORD10199,CUST2199,2025-06-23,2025-06-23 00:00:00,65.33,On Time,North,CourierC,71.08,1.86,0.0,1.0880146946272768
ORD10200,CUST2200,2025-06-07,2025-06-06 23:00:00,94.67,On Time,West,CourierB,87.71,2.54,1.0,0.9264814619203549
ORD10201,CUST2201,2025-06-13,2025-06-12 23:00:00,342.15,On Time,West,CourierA,381.64,4.63,1.0,1.1154172146719274
ORD10202,CUST2202,2025-06-15,2025-06-14 20:00:00,94.81,On Time,East,CourierD,55.14,1.68,4.0,0.5815842210737264
